cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,320,3072,1536,ck,12,3,8.2119,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,367.75,873.88,0.0
256,320,4096,512,ck,12,0,5.7154,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,234.84,854.26,0
256,320,7168,2048,asm,24,1,13.8928,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,676.27,1434.05,0.0
256,320,4608,7168,asm,8,1,29.1816,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,724.4,1311.55,0.0
256,320,7168,2304,asm,24,1,14.9345,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,707.73,1462.38,0.0
256,320,128,7168,asm,7,8,8.3181,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,70.59,395.91,0.0066
256,320,2112,7168,ck,17,3,21.4147,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,452.44,877.17,0.0
256,320,2240,7168,ck,17,0,21.2539,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,483.49,930.83,0.0
256,320,8192,1536,asm,24,1,12.3507,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,652.03,1483.1,0.0
256,320,11264,1536,ck,14,3,15.3123,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,723.14,1632.8,0.0
256,352,3072,1536,ck,12,2,8.8327,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,376.09,840.28,0.0
256,352,4096,512,ck,12,2,5.8572,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,252.06,881.13,0.0
256,352,7168,2048,ck,15,3,15.9963,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,646.07,1278.25,0.0137
256,352,4608,7168,asm,41,2,29.3262,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,792.92,1322.96,0.0
256,352,7168,2304,ck,15,1,18.1549,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,640.41,1232.3,0.0137
256,352,128,7168,asm,7,8,8.7962,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,73.43,401.4,0.0107
256,352,2112,7168,ck,17,3,22.0945,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,482.37,866.68,0.0
256,352,2240,7168,ck,17,2,22.225,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,508.6,906.93,0.0
256,352,8192,1536,asm,32,1,13.257,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,668.2,1424.96,0.0
256,352,11264,1536,ck,8,3,17.6526,a8w8_blockscale_bpreshuffle_1x128x128_256x32x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,690.0,1459.96,0.0
256,384,3072,1536,ck,10,1,9.3199,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,388.83,822.72,0.0225
256,384,4096,512,ck,12,1,5.9036,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,272.82,921.38,0.0
256,384,7168,2048,asm,32,1,14.8117,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,761.17,1415.88,0.0
256,384,4608,7168,asm,41,2,30.7791,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,824.17,1277.54,0.0
256,384,7168,2304,asm,32,1,17.3615,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,730.56,1319.29,0.0
256,384,128,7168,asm,31,8,9.6024,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_80x128E,73.38,392.44,0.0112
256,384,2112,7168,ck,17,0,21.5422,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,539.71,905.82,0.0
256,384,2240,7168,ck,17,3,21.6497,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,569.58,948.24,0.0
256,384,8192,1536,asm,32,1,13.1496,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,734.9,1480.21,0.0
256,384,11264,1536,ck,14,3,18.6755,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,711.5,1421.22,0.0
256,416,3072,1536,ck,12,1,9.7029,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,404.61,815.58,0.0
256,416,4096,512,ck,11,0,6.3357,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,275.4,902.51,0
256,416,7168,2048,ck,14,1,16.7666,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,728.46,1282.06,0.0001
256,416,4608,7168,asm,16,1,30.9257,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_64x128E,888.62,1288.44,0.0
256,416,7168,2304,asm,40,1,18.6971,_ZN5aiter43fp8gemm_bf16_blockscale_BpreShuffle_128x128E,734.9,1253.53,0.0
256,416,128,7168,asm,7,8,8.5054,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,89.75,470.98,0.0061
256,416,2112,7168,ck,17,2,22.2431,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,566.27,893.67,0.0
256,416,2240,7168,ck,17,2,22.4992,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,593.75,929.01,0.0
256,416,8192,1536,ck,14,3,15.0323,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,696.43,1332.97,0.0
