cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,32,4096,512,ck,7,0,3.473,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,38.65,684.04,0.0
256,64,4096,512,ck,7,0,3.6318,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,73.91,730.82,0.0
256,128,4096,512,ck,7,0,4.2713,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,125.69,751.82,0.0
256,128,4096,1280,ck,7,0,6.7501,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,198.84,956.33,0.0
256,256,4096,512,ck,11,0,5.2699,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,203.75,820.77,0.0
256,512,4096,512,ck,11,0,7.0716,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,303.68,926.75,0.0
256,1024,4096,512,ck,16,0,10.0272,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,428.33,1098.02,0.0
256,1536,4096,512,ck,11,0,13.3341,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,483.16,1159.92,0.0
256,2048,4096,512,cktile,10,0,14.6245,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,587.37,1362.3,0.0
256,4096,4096,512,cktile,10,0,26.1396,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,657.24,1444.12,0.0
256,8192,4096,512,cktile,10,0,49.5997,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,692.74,1479.85,0.0
256,16384,4096,512,cktile,10,0,91.9628,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,747.25,1573.5,0.0
256,20480,4096,512,cktile,10,0,112.727,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,762.01,1599.93,0.0
256,32768,4096,2048,cktile,11,0,417.4786,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1316.85,823.83,0.0
256,16,4608,7168,ck,7,0,18.4805,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,57.19,1801.48,0.0
256,32,4608,7168,ck,7,0,18.5088,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,114.21,1812.89,0.0
256,64,4608,7168,ck,12,0,19.7732,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,213.82,1723.48,0.0
256,128,4608,7168,ck,17,0,22.9512,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,368.42,1530.52,0.0
256,256,4608,7168,ck,17,0,34.721,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,487.07,1072.1,0.0
256,512,4608,7168,ck,14,0,49.0535,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,689.51,844.36,0.0
256,1024,4608,7168,ck,14,0,74.8131,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,904.2,665.76,0.0002
256,1536,4608,7168,ck,13,0,85.8908,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1181.37,677.56,0.0
256,2048,4608,7168,cktile,11,0,97.9806,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1380.8,679.57,0.0
256,4096,4608,7168,cktile,11,0,185.0155,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1462.49,541.25,0.0
256,8192,4608,7168,cktile,11,0,317.7336,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1703.21,526.38,0.0
256,16384,4608,7168,cktile,11,0,603.8594,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1792.36,499.23,0.0
256,20480,4608,7168,cktile,11,0,769.2192,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1758.82,479.15,0.0
