cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,4096,5120,25600,21,0,335.5366,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3200.07,476.57,0.0
256,4096,6400,5120,23,0,104.9868,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,2556.85,755.32,0.0
256,4096,12800,5120,24,0,173.0755,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3101.95,855.76,0.0
256,4096,51200,5120,24,0,615.387,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3489.65,911.6,0.0
256,8192,800,5120,21,0,41.7607,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1606.99,865.09,0.0
256,8192,5120,1280,24,0,45.8718,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2340.74,2014.44,0.0
256,8192,5120,5120,23,0,150.9595,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,2845.11,781.43,0.0
256,8192,5120,6400,24,0,128.6764,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4172.26,982.97,0.0
256,8192,5120,25600,21,0,515.1458,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4168.69,493.61,0.0
256,8192,6400,5120,21,0,160.4623,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3345.78,886.27,0.0
256,8192,12800,5120,24,0,315.7672,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3400.42,834.33,0.0
256,8192,51200,5120,24,0,1047.6126,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4099.77,945.87,0.0
256,16384,800,5120,21,0,48.5545,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2764.27,1445.91,0.0
256,16384,5120,1280,24,0,80.3199,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2673.66,2260.15,0.0
256,16384,5120,5120,21,0,213.8374,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4017.04,1042.02,0.0
256,16384,5120,6400,21,0,227.3158,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4723.57,1040.78,0.0
256,16384,5120,25600,21,0,883.88,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4859.22,501.23,0.0
256,16384,6400,5120,21,0,294.6844,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3643.7,909.59,0.0
256,16384,12800,5120,24,0,603.8703,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3556.2,818.29,0.0
256,16384,51200,5120,24,0,2073.2909,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4143.14,892.66,0.0
256,32768,5120,1280,21,0,155.9821,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2753.5,2306.63,0.0
256,32768,5120,5120,21,0,431.6139,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3980.38,1002.14,0.0
