cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1024,13312,16384,21,0,135.3356,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3300.51,1069.22,0.0
256,1024,16384,2048,21,0,25.9041,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2652.84,1983.48,0.0
256,1024,16384,4096,21,0,41.6209,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3302.16,1662.77,0.0
256,1024,16384,6656,24,0,54.1997,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,4120.66,1687.98,0.0
256,1024,16384,8192,21,0,71.1258,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3864.67,1474.26,0.0
256,1024,16384,13312,21,0,107.964,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4137.27,1384.0,0.0
256,1024,16384,26624,21,0,209.6498,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4261.17,1265.39,0.0
256,1024,26624,16384,21,0,240.4895,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3714.73,1168.53,0.0
256,1024,53248,16384,21,0,568.4868,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3142.92,973.9,0.0
256,2048,2304,16384,21,0,108.8889,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1419.97,414.08,0.0
256,2048,4608,16384,22,0,115.5181,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,2676.96,635.4,0.0
256,2048,9216,16384,21,0,223.9904,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2761.17,580.49,0.0
256,2048,13312,16384,21,0,238.795,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3741.09,755.27,0.0
256,2048,16384,2048,21,0,48.2561,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2848.12,1781.81,0.0
256,2048,16384,4096,21,0,74.5022,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3689.53,1407.44,0.0
256,2048,16384,6656,21,0,102.0232,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4378.19,1259.03,0.0
256,2048,16384,8192,21,0,132.5113,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4148.75,1076.18,0.0
256,2048,16384,13312,21,0,201.9408,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4423.84,939.84,0.0
256,2048,16384,26624,21,0,402.1677,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,4442.69,776.98,0.0
256,2048,26624,16384,21,0,455.1222,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,3925.77,755.69,0.0
